"order","season","league","fouls_per_game","fouls_per_card"
"1","05/06","England",26.3105263157895,8.00480384307446
"2","06/07","England",25.0526315789474,7.4491392801252
"3","07/08","England",24.3842105263158,7.25606891151135
"4","08/09","England",23.2236842105263,6.99841395717684
"5","09/10","England",24.1947368421053,7.04521072796935
"6","10/11","England",22.4157894736842,6.55735180908391
"7","11/12","England",20.3631578947368,6.23027375201288
"8","12/13","England",20.9289473684211,6.42407108239095
"9","13/14","England",21.5315789473684,6.46798418972332
"10","14/15","England",22.6731391585761,5.8676716917923
"11","05/06","Germany",39.2287581699346,8.86558345642541
"12","06/07","Germany",37.3529411764706,9.63743676222597
"13","07/08","Germany",35.7777777777778,9.50347222222222
"14","08/09","Germany",36.0555555555556,8.98452768729642
"15","09/10","Germany",33.8986928104575,9.42143505903724
"16","10/11","Germany",32.6633986928105,9.12785388127854
"17","11/12","Germany",32.4313725490196,8.80567879325643
"18","12/13","Germany",31.5424836601307,8.11774600504626
"19","13/14","Germany",30.7254901960784,8.28370044052863
"20","14/15","Germany",30.522633744856,8.06195652173913
"21","05/06","Italy",38.7704918032787,8.68421052631579
"22","06/07","Italy",37.2342105263158,7.72241021722519
"23","07/08","Italy",38.6526315789474,7.84196476241324
"24","08/09","Italy",36.8394736842105,7.8778840742825
"25","09/10","Italy",35.4552631578947,7.30243902439024
"26","10/11","Italy",30.9552631578947,7.31985065339141
"27","11/12","Italy",30.4736842105263,6.60581859669139
"28","12/13","Italy",30.6147757255937,5.98401237751418
"29","13/14","Italy",29.5368421052632,6.05067385444744
"30","14/15","Italy",30.6944444444444,6.00135777325187
"31","05/06","Spain",38.9842105263158,6.94514767932489
"32","06/07","Spain",36.6263157894737,6.76616431696646
"33","07/08","Spain",34.6894736842105,6.53221010901883
"34","08/09","Spain",33.3026315789474,5.88057620817844
"35","09/10","Spain",31.8263157894737,5.89951219512195
"36","10/11","Spain",29.0947368421053,5.45167652859961
"37","11/12","Spain",29.3842105263158,4.94508414526129
"38","12/13","Spain",28.4289473684211,4.90822353475693
"39","13/14","Spain",27.9,5.35184250378597
"40","14/15","Spain",28.8585858585859,5.0358401880141
